COURSE,TITLE,MEETING INFORMATION,FACULTY NAME,COMMENT
BI-257-01,Introduction to Bioinformatics,08/24/22 12/09/22         LEC  MWF 01:00PM 01:50PM,Dr. A. Barnett,
BI-263-01,Anatomy and Physiology I,08/24/22 12/09/22               LEC  MWF 08:00AM 08:50AM,Dr. R. Blumenstein,
BI-263-02,Anatomy and Physiology I,08/24/22 12/09/22               LEC  TR 08:00AM 09:15AM,Dr. R. Blumenstein,
BI-263L-1L,BI-263 Lab,08/24/22 12/09/22                            LAB  T  12:30PM 02:20PM,C. Chase,
BI-263L-2L,BI-263 Lab,08/24/22 12/09/22                            LAB  T  02:30PM 04:20PM,C. Chase,
BI-263L-3L,BI-263 Lab,08/24/22 12/09/22                            LAB  T  04:30PM 06:20PM,C. Chase,
BI-263L-4L,BI-263 Lab,08/24/22 12/09/22                            LAB  R  12:30PM 02:20PM,,
BI-263L-5L,BI-263 Lab,08/24/22 12/09/22                            LAB  R  02:30PM 04:20PM,,
BI-263L-6L,BI-263 Lab,08/24/22 12/09/22                            LAB  R  04:30PM 06:20PM,,
BI-263L-7L,BI-263 Lab,08/24/22 12/09/22                            LAB  R  06:30PM 08:20PM,,
BI-263S-01,BI-263 Supplemental,08/24/22 12/09/22                   LEC  M  02:00PM 02:50PM,Dr. R. Blumenstein,
BI-263S-02,BI-263 Supplemental,08/24/22 12/09/22                   LEC  F  02:00PM 02:50PM,Dr. R. Blumenstein,
BI-267-01,Behaviorial Neuroscience,08/24/22 12/09/22               LEC  MWF 12:00PM 12:50PM,Dr. A. Krupka,
BI-280-01,Field Biology,08/24/22 12/09/22                          LEC  M   02:00PM 02:50PM,Dr. A. Huynh,Must see instructor to register. Trip to American Southwest in early Jan.
BI-353-01,Immunology,08/24/22 12/09/22                             LEC  MWF 12:00PM 12:50PM,Dr. D. Beachboard,
BI-355-01,Human Structure and Function I,08/24/22 12/09/22         LEC  MWF 09:00AM 09:50AM,,
BI-355-02,Human Structure and Function I,08/24/22 12/09/22         LEC  MWF 11:00AM 11:50AM,,
BI-355L-1L,BI-355 Lab,08/24/22 12/09/22                            LAB  M  02:00PM 04:50PM,Dr. M. Reppert,
BI-355L-2L,BI-355 Lab,08/24/22 12/09/22                            LAB  M  05:30PM 08:20PM,Dr. M. Reppert,
BI-355L-3L,BI-355 Lab,08/24/22 12/09/22                            LAB  W  05:30PM 08:20PM,Dr. M. Reppert,
BI-355L-4L,BI-355 Lab,08/24/22 12/09/22                            LAB  F  02:00PM 04:50PM,Dr. M. Reppert,
BI-361-01,Developmental Biology,08/24/22 12/09/22                  LEC  MWF 11:00AM 11:50AM,Dr. A. Barnett,
BI-374-01,Animal Behavior,08/24/22 12/09/22                        LEC  MWF 10:00AM 10:50AM,Dr. J. Leese,
BI-400-01,Topics: Pharm. Manufacturing,08/24/22 12/09/22           LEC  R  06:00PM 09:00PM,Mrs. A. Lutte,
BI-435-01,Biochemistry I,08/24/22 12/09/22                         LEC  MWF 11:00AM 11:50AM,Dr. J. Himmelberger,
BI-435L-1L,BI-435 Lab,08/24/22 12/09/22                            LAB  R  02:00PM 05:00PM,Dr. J. Himmelberger,
BI-455-01,Research Seminar,08/24/22 12/09/22                       LEC  MWF 08:00AM 08:50AM,Dr. A. Barnett,
BI-461-01,Research,08/24/22 12/09/22         LAB  ,Dr. A. Barnett,Permission of Instructor required
BI-461-02,Research,08/24/22 12/09/22         LAB  ,Dr. R. Blumenstein,Permission of Instructor required
BI-461-03,Research,08/24/22 12/09/22         LAB  ,Dr. A. Huynh,Permission of Instructor required
BI-461-04,Research,08/24/22 12/09/22         LAB  ,Dr. L. Goudsouzian,Permission of Instructor required
BI-461-05,Research,08/24/22 12/09/22         LAB  ,Dr. A. Krupka,Permission of Instructor required
BI-461-06,Research,08/24/22 12/09/22         LAB  ,Dr. J. Leese,Permission of Instructor required
BI-461-07,Research,08/24/22 12/09/22         LAB  ,Dr. J. Slee,Permission of Instructor required
BI-461-08,Research,08/24/22 12/09/22         LAB  ,Dr. D. Beachboard,Permission of Instructor required
BI-4611-01,Research,,,See Department Chair to register
BI-475-01,Designer Genes - Biotechnology,08/24/22 12/09/22         LEC  TR 09:30AM 10:45AM,Dr. J. Slee,VAL SEM
CH-101-01,General Chemistry I,08/24/22 12/09/22                    LEC  MWF 11:00AM 11:50AM,Dr. S. Hayik,
CH-101-02,General Chemistry I,08/24/22 12/09/22                    LEC  MWF 01:00PM 01:50PM,Dr. R. Berg,
CH-101L-1L,CH-101 Lab,08/24/22 12/09/22         LAB  T  08:00AM 10:50AM,,
CH-101L-2L,CH-101 Lab,08/24/22 12/09/22         LAB  T  11:00AM 01:50PM,,
CH-101L-3L,CH-101 Lab,08/24/22 12/09/22         LAB  T  02:00PM 04:50PM,,
CH-101L-4L,CH-101 Lab,08/24/22 12/09/22         LAB  R  08:00AM 10:50AM,,
CH-101L-5L,CH-101 Lab,08/24/22 12/09/22         LAB  R  11:00AM 01:50PM,,
CH-101L-6L,CH-101 Lab,08/24/22 12/09/22         LAB  R  02:00PM 04:50PM,,
CH-101P-1P,CH-101 Problem Solving,08/24/22 12/09/22         LEC  T  10:00AM 10:50AM,Dr. S. Hayik,
CH-101P-2P,CH-101 Problem Solving,08/24/22 12/09/22         LEC  T  11:00AM 11:50AM,Dr. S. Hayik,
CH-101P-3P,CH-101 Problem Solving,08/24/22 12/09/22         LEC  R  10:00AM 10:50AM,Dr. R. Berg,
CH-101P-4P,CH-101 Problem Solving,08/24/22 12/09/22         LEC  R  11:00AM 11:50AM,Dr. R. Berg,
CH-103-01,Fund of General Chemistry,08/24/22 12/09/22       LEC  MWF 09:00AM 09:50AM,Dr. R. Berg,
CH-103L-1L,CH-103 Lab,08/24/22 12/09/22                     LAB  M  02:00PM 04:50PM,Dr. R. Berg,
CH-103L-2L,CH-103 Lab,08/24/22 12/09/22                     LAB  T  08:00AM 10:50AM,Dr. R. Berg,
CH-209-01,Energy and the Environment,08/24/22 12/09/22      LEC  TR      11:00AM 11:50AM,,MOT NS
,,,,Must register for lab: CH-209L-1L
CH-209L-1L,CH-209 Lab,08/24/22 12/09/22                 LAB  R  12:00PM 01:50PM,,
CH-231-01,Organic Chemistry I,08/24/22 12/09/22         LEC  MWF 08:00AM 08:50AM,Dr. F. Mayville,
CH-231-02,Organic Chemistry I,08/24/22 12/09/22         LEC  MWF 01:00PM 01:50PM,Dr. F. Mayville,
CH-231L-1L,CH-231 Lab,08/24/22 12/09/22                 LAB  T  08:00AM 10:50AM,Dr. F. Mayville,
CH-231L-2L,CH-231 Lab,08/24/22 12/09/22                 LAB  T  02:00PM 04:50PM,Dr. F. Mayville,
